41	4	5	13
10569	2	3	0	2
21036	2	1	0	4
20649	2	1	0	1
20787	2	0	2	0
16919	2	1	0	4
14517	2	1	0	0
16876	2	1	0	1
14632	2	1	0	0
17326	2	1	0	2
18621	2	1	0	0
21184	2	1	0	0
13823	2	1	0	3
12931	2	1	0	3
21086	2	0	1	3
10810	2	1	0	4
14589	2	1	0	2
19568	2	1	0	1
14913	2	1	0	2
17973	2	1	0	4
10270	2	1	0	1
18125	2	1	0	2
18398	2	1	0	0
18185	2	3	0	3
21063	2	0	1	3
18132	2	2	0	1
14776	2	1	0	3
18641	2	0	1	3
20031	2	1	0	0
19069	2	1	0	3
20542	2	1	0	3
20866	2	0	5	3
19126	2	1	0	3
20849	2	1	0	1
20963	2	2	0	3
21114	2	4	0	1
18382	2	0	2	0
11341	2	2	0	2
14253	2	0	1	3
14351	2	1	0	1
16496	2	1	0	1
44	1	8
92	1	8
276	1	8
379	2	6
3	7	11	11	9	
6	3	16	5	13	
10	16	3	21	13	
10	5	19	3	18	
9	13	12	18	3	
1	0	0	0	0	
2	0	0	0	0	
1	1	1	0	0	
0	0	0	0	1	
1	0	0	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
1	1	1	0	2	
0	0	0	2	2	
2	0	0	2	2	
2	2	2	2	2	
