81	6	5	17
12931	2	3	0	0
21167	2	1	0	0
22329	2	1	0	3
22133	2	2	0	3
21404	2	2	0	2
15321	2	1	0	3
13756	2	5	0	0
22166	2	1	0	2
15607	2	1	0	0
22355	2	3	0	0
22292	2	0	1	0
19482	2	2	0	3
18185	2	2	0	0
22346	2	3	0	0
12686	2	1	0	2
20914	2	2	0	4
18940	2	2	3	1
18390	2	1	0	1
18621	2	2	0	3
21551	2	1	0	0
13207	2	1	0	1
18296	2	1	0	2
20262	2	2	0	0
11944	2	1	0	0
22362	2	1	0	0
17308	2	1	0	0
11323	2	1	0	0
21669	2	1	0	0
22313	2	0	5	1
20760	2	5	0	2
14255	2	1	0	0
20918	2	3	0	1
14986	2	2	0	0
11262	2	1	0	1
16650	2	1	0	4
18821	2	3	0	1
21852	2	2	0	0
14719	2	1	0	4
18562	2	1	0	0
20246	2	3	0	0
19895	2	2	0	0
19228	2	1	0	4
18697	2	1	0	0
14234	2	1	0	0
22097	2	1	0	3
10797	2	1	0	0
17049	2	0	5	0
10847	2	2	0	0
20989	2	0	3	0
13864	2	2	0	0
14776	2	1	0	0
22286	2	0	5	0
22222	2	0	1	0
19819	2	1	0	2
17011	2	1	0	3
20729	2	1	0	0
18244	2	1	0	0
20887	2	2	0	0
22380	2	0	2	3
15115	2	2	0	0
21103	2	3	0	0
13943	2	1	0	0
16415	2	1	0	1
19298	2	2	0	2
17573	2	0	1	0
12691	2	1	0	1
16773	2	1	0	1
13823	2	5	0	0
16496	2	2	2	1
11512	2	3	0	2
18010	2	1	0	2
18500	2	1	0	1
18717	2	1	0	0
18521	2	1	0	2
19813	2	3	0	0
13467	2	1	0	0
19925	2	3	0	0
10329	2	2	0	1
15436	2	1	0	0
16567	2	1	0	0
44	1	8
92	1	8
276	1	8
80	1	8
31	1	8
379	2	6
3	7	9	12	11	
6	3	13	16	5	
9	13	3	6	18	
12	16	7	3	21	
10	5	18	21	3	
1	0	0	0	0	
2	0	0	0	0	
0	1	1	0	0	
1	1	1	0	0	
0	1	2	0	0	
2	2	2	0	0	
0	0	0	0	1	
1	0	0	0	1	
0	1	1	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
0	1	2	0	2	
1	1	2	0	2	
1	1	2	2	2	
2	2	2	2	2	
