61	5	5	13
14668	2	1	0	0
14589	2	1	0	2
16919	2	1	0	4
14638	2	2	0	4
20963	2	2	0	3
21123	2	0	2	3
18382	2	0	2	0
21086	2	0	1	3
12895	2	1	0	1
13756	2	1	0	3
12265	2	1	0	3
21210	2	1	0	3
16876	2	1	0	1
12931	2	1	0	3
20435	2	1	0	3
21074	2	1	0	4
18641	2	0	1	3
15629	2	1	0	3
21150	2	2	0	3
14292	2	2	0	2
14253	2	0	1	3
20698	2	4	0	3
20929	2	1	0	1
14517	2	1	0	0
12523	2	1	0	3
14481	2	1	0	1
13863	2	1	0	0
14913	2	1	0	2
20247	2	0	1	3
20919	2	0	2	3
20031	2	1	0	0
19126	2	1	0	3
20835	2	1	0	0
13823	2	1	0	3
20760	2	2	0	4
18185	2	3	0	3
17326	2	1	0	2
21036	2	1	0	4
18390	2	1	0	1
21114	2	4	0	1
20849	2	1	0	1
20593	2	1	0	4
19568	2	1	0	1
18621	2	1	0	0
11910	2	1	0	4
12130	2	1	0	0
16496	2	1	0	1
14632	2	1	0	0
13538	2	1	0	2
20787	2	0	2	0
10270	2	1	0	1
11526	2	0	1	3
10847	2	0	1	3
20866	2	0	5	3
10810	2	1	0	4
12128	2	1	0	2
20649	2	1	0	1
17956	2	1	0	2
14373	2	1	0	4
21184	2	1	0	0
44	1	8
92	1	8
276	1	8
80	1	8
379	2	6
3	7	11	11	9	
6	3	16	5	13	
10	16	3	21	13	
10	5	19	3	18	
9	13	12	18	3	
1	0	0	0	0	
2	0	0	0	0	
1	1	1	0	0	
0	0	0	0	1	
1	0	0	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
1	1	1	0	2	
0	0	0	2	2	
2	0	0	2	2	
2	2	2	2	2	
