61	5	5	13
20963	2	2	0	3
18398	2	1	0	0
20649	2	1	0	1
20542	2	1	0	3
20760	2	2	0	4
18621	2	1	0	0
20698	2	4	0	3
14517	2	1	0	0
19895	2	0	1	3
21123	2	0	2	3
15321	2	1	0	0
14292	2	2	0	2
12895	2	1	0	1
20929	2	1	0	1
14638	2	2	0	4
20787	2	0	2	0
19069	2	1	0	3
21036	2	1	0	4
11526	2	0	1	3
18125	2	1	0	2
21114	2	4	0	1
18382	2	0	2	0
21184	2	1	0	0
21210	2	1	0	3
15629	2	1	0	3
20593	2	1	0	4
20819	2	1	0	0
18641	2	0	1	3
13873	2	1	0	3
12265	2	1	0	3
16919	2	1	0	4
19945	2	1	0	3
20919	2	0	2	3
21074	2	1	0	4
20435	2	1	0	3
10569	2	3	0	2
10724	2	1	0	3
12931	2	1	0	3
19568	2	1	0	1
17973	2	1	0	4
20636	2	1	0	3
13863	2	1	0	0
14589	2	1	0	2
11512	2	1	0	4
12523	2	1	0	3
14351	2	1	0	1
20373	2	0	1	3
20835	2	1	0	0
21109	2	1	0	3
14668	2	1	0	0
21150	2	2	0	3
12130	2	1	0	0
17326	2	1	0	2
18185	2	3	0	3
10847	2	0	1	3
10270	2	1	0	1
20849	2	1	0	1
20918	2	1	0	1
11910	2	1	0	4
14253	2	0	1	3
44	1	8
92	1	8
276	1	8
80	1	8
379	2	6
3	7	11	11	9	
6	3	16	5	13	
10	16	3	21	13	
10	5	19	3	18	
9	13	12	18	3	
1	0	0	0	0	
2	0	0	0	0	
1	1	1	0	0	
0	0	0	0	1	
1	0	0	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
1	1	1	0	2	
0	0	0	2	2	
2	0	0	2	2	
2	2	2	2	2	
