51	5	5	17
14513	2	1	0	2
19690	2	1	0	1
18621	2	2	0	3
16567	2	1	0	0
13823	2	5	0	0
22105	2	5	0	0
10724	2	3	0	0
22133	2	2	0	3
20887	2	2	0	0
17011	2	1	0	3
18697	2	1	0	0
20835	2	2	0	3
22248	2	2	0	4
22292	2	0	1	0
13405	2	1	0	0
10090	2	1	0	0
22313	2	0	5	1
11323	2	1	0	0
18185	2	2	0	0
22239	2	0	3	0
19819	2	1	0	2
14234	2	1	0	0
19294	2	1	0	0
12686	2	1	0	2
14719	2	1	0	4
14255	2	1	0	0
18010	2	1	0	2
12931	2	3	0	0
20918	2	3	0	1
11661	2	3	0	3
13864	2	2	0	0
20989	2	0	3	0
15969	2	3	0	0
20066	2	1	0	0
22097	2	1	0	3
14327	2	2	0	0
18940	2	2	3	1
16650	2	1	0	4
22286	2	0	5	0
21852	2	2	0	0
20246	2	3	0	0
13943	2	1	0	0
15115	2	2	0	0
15321	2	1	0	3
18132	2	5	0	1
19228	2	1	0	4
14696	2	1	1	0
18500	2	1	0	1
12895	2	5	0	1
22311	2	2	0	0
44	1	8
92	1	8
276	1	8
80	1	8
379	2	6
3	7	9	12	11	
6	3	13	16	5	
9	13	3	6	18	
12	16	7	3	21	
10	5	18	21	3	
1	0	0	0	0	
2	0	0	0	0	
0	1	1	0	0	
1	1	1	0	0	
0	1	2	0	0	
2	2	2	0	0	
0	0	0	0	1	
1	0	0	0	1	
0	1	1	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
0	1	2	0	2	
1	1	2	0	2	
1	1	2	2	2	
2	2	2	2	2	
