81	6	5	17
22248	2	2	0	4
20918	2	3	0	1
22186	2	1	0	0
11262	2	1	0	1
21767	2	2	3	0
10724	2	3	0	0
13943	2	1	0	0
20262	2	2	0	0
20729	2	1	0	0
21852	2	2	0	0
13467	2	1	0	0
20955	2	1	0	0
21167	2	1	0	0
13207	2	1	0	1
18132	2	5	0	1
14513	2	1	0	2
18010	2	1	0	2
22292	2	0	1	0
12338	2	1	0	3
17011	2	1	0	3
14638	2	5	0	2
21439	2	2	0	1
20031	2	1	0	3
15969	2	3	0	0
13823	2	5	0	0
21902	2	0	2	0
10797	2	1	0	0
22271	2	5	0	3
20629	2	1	0	0
18621	2	2	0	3
18562	2	1	0	0
21184	2	2	0	3
20914	2	2	0	4
22286	2	0	5	0
13020	2	1	0	0
10090	2	1	0	0
22313	2	0	5	1
11323	2	1	0	0
17308	2	1	0	0
22239	2	0	3	0
20760	2	5	0	2
14255	2	1	0	0
18717	2	1	0	0
12686	2	1	0	2
14719	2	1	0	4
14312	2	1	0	0
18231	2	4	0	2
12931	2	3	0	0
19690	2	1	0	1
11661	2	3	0	3
13864	2	2	0	0
20887	2	2	0	0
16567	2	1	0	0
19813	2	3	0	0
22097	2	1	0	3
14696	2	1	1	0
19604	2	1	0	1
13581	2	1	0	4
22311	2	2	0	0
21825	2	0	1	0
19895	2	2	0	0
14234	2	1	0	0
15115	2	2	0	0
19482	2	2	0	3
18390	2	1	0	1
16650	2	1	0	4
14776	2	1	0	0
18821	2	3	0	1
12895	2	5	0	1
22346	2	3	0	0
22329	2	1	0	3
22080	2	3	0	1
19331	2	1	0	2
12506	2	2	0	4
17811	2	1	0	2
20066	2	1	0	0
22179	2	1	0	0
22362	2	1	0	0
18697	2	1	0	0
19228	2	1	0	4
44	1	8
92	1	8
276	1	8
80	1	8
31	1	8
379	2	6
3	7	9	12	11	
6	3	13	16	5	
9	13	3	6	18	
12	16	7	3	21	
10	5	18	21	3	
1	0	0	0	0	
2	0	0	0	0	
0	1	1	0	0	
1	1	1	0	0	
0	1	2	0	0	
2	2	2	0	0	
0	0	0	0	1	
1	0	0	0	1	
0	1	1	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
0	1	2	0	2	
1	1	2	0	2	
1	1	2	2	2	
2	2	2	2	2	
