61	5	5	13
13538	2	1	0	2
18398	2	1	0	0
14776	2	1	0	3
21086	2	0	1	3
14481	2	1	0	1
13756	2	1	0	3
15415	2	1	0	3
18621	2	1	0	0
15629	2	1	0	3
20542	2	1	0	3
20919	2	0	2	3
18641	2	0	1	3
18390	2	1	0	1
21063	2	0	1	3
20849	2	1	0	1
15321	2	1	0	0
20918	2	1	0	1
12931	2	1	0	3
21184	2	1	0	0
12895	2	1	0	1
21074	2	1	0	4
20247	2	0	1	3
10847	2	0	1	3
13873	2	1	0	3
17956	2	1	0	2
12130	2	1	0	0
20031	2	1	0	0
11341	2	2	0	2
14589	2	1	0	2
18439	2	1	0	2
14668	2	1	0	0
14913	2	1	0	2
18125	2	1	0	2
19069	2	1	0	3
19945	2	1	0	3
20866	2	0	5	3
20963	2	2	0	3
12523	2	1	0	3
11512	2	1	0	4
11910	2	1	0	4
20822	2	0	5	3
20373	2	0	1	3
14638	2	2	0	4
14351	2	1	0	1
18382	2	0	2	0
17326	2	1	0	2
10178	2	1	0	0
17973	2	1	0	4
10569	2	3	0	2
10810	2	1	0	4
19568	2	1	0	1
16919	2	1	0	4
21036	2	1	0	4
11526	2	0	1	3
14632	2	1	0	0
13863	2	1	0	0
20435	2	1	0	3
14517	2	1	0	0
18132	2	2	0	1
13823	2	1	0	3
44	1	8
92	1	8
276	1	8
80	1	8
379	2	6
3	7	11	11	9	
6	3	16	5	13	
10	16	3	21	13	
10	5	19	3	18	
9	13	12	18	3	
1	0	0	0	0	
2	0	0	0	0	
1	1	1	0	0	
0	0	0	0	1	
1	0	0	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
1	1	1	0	2	
0	0	0	2	2	
2	0	0	2	2	
2	2	2	2	2	
