163	11	8	17
10090	2	1	0	0
10329	2	2	0	1
10468	2	1	0	0
10724	2	3	0	0
10797	2	1	0	0
10847	2	2	0	0
11262	2	1	0	1
11323	2	1	0	0
11512	2	3	0	2
11661	2	3	0	3
11944	2	1	0	0
12265	2	1	0	0
12338	2	1	0	3
12430	2	1	0	2
12506	2	2	0	4
12686	2	1	0	2
12691	2	1	0	1
12895	2	5	0	1
12931	2	3	0	0
13020	2	1	0	0
13207	2	1	0	1
13405	2	1	0	0
13467	2	1	0	0
13581	2	1	0	4
13756	2	5	0	0
13823	2	5	0	0
13864	2	2	0	0
13943	2	1	0	0
14234	2	1	0	0
14255	2	1	0	0
14312	2	1	0	0
14327	2	2	0	0
14390	2	0	1	5
14481	2	0	1	1
14513	2	1	0	2
14517	2	2	0	3
14638	2	5	0	2
14696	2	1	1	0
14719	2	1	0	4
14776	2	1	0	0
14986	2	2	0	0
15086	2	3	0	6
15098	2	1	0	7
15115	2	2	0	0
15321	2	1	0	3
15402	2	1	0	0
15436	2	1	0	0
15519	2	0	1	5
15607	2	1	0	0
15969	2	3	0	0
15981	2	1	2	1
16415	2	1	0	1
16496	2	2	2	1
16567	2	1	0	0
16650	2	1	0	4
16773	2	1	0	1
16998	2	1	0	0
17011	2	1	0	3
17049	2	0	5	0
17121	2	1	0	7
17308	2	1	0	0
17326	2	0	1	5
17573	2	0	1	0
17691	2	1	0	5
17811	2	1	0	2
18010	2	1	0	2
18132	2	5	0	1
18185	2	2	0	0
18210	2	1	0	0
18231	2	4	0	2
18244	2	1	0	0
18296	2	1	0	2
18390	2	1	0	1
18500	2	1	0	1
18521	2	1	0	2
18562	2	1	0	0
18621	2	2	0	3
18640	2	1	0	0
18697	2	1	0	0
18717	2	1	0	0
18821	2	3	0	1
18940	2	2	3	1
18959	2	1	0	0
18986	2	2	0	5
19069	2	1	0	0
19228	2	1	0	4
19294	2	1	0	0
19298	2	2	0	2
19331	2	1	0	2
19404	2	0	3	7
19420	2	1	0	5
19482	2	2	0	3
19604	2	1	0	1
19690	2	1	0	1
19813	2	3	0	0
19819	2	1	0	2
19820	2	0	1	5
19895	2	2	0	0
19925	2	3	0	0
20031	2	1	0	3
20066	2	1	0	0
20106	2	2	0	3
20246	2	3	0	0
20262	2	2	0	0
20349	2	1	0	0
20629	2	1	0	0
20698	2	3	0	0
20729	2	1	0	0
20760	2	5	0	2
20835	2	2	0	3
20887	2	2	0	0
20914	2	2	0	4
20918	2	3	0	1
20955	2	1	0	0
20989	2	0	3	0
21000	2	1	0	7
21103	2	3	0	0
21167	2	1	0	0
21184	2	2	0	3
21193	2	0	5	6
21300	2	1	0	0
21308	2	1	0	7
21404	2	2	0	2
21439	2	2	0	1
21551	2	1	0	0
21669	2	1	0	0
21722	2	0	1	7
21767	2	2	3	0
21777	2	0	3	6
21781	2	0	3	6
21805	2	1	1	5
21825	2	0	1	0
21852	2	2	0	0
21892	2	1	0	2
21902	2	0	2	0
22023	2	1	0	3
22080	2	3	0	1
22097	2	1	0	3
22105	2	5	0	0
22133	2	2	0	3
22166	2	1	0	2
22178	2	1	0	0
22179	2	1	0	0
22184	2	2	0	1
22186	2	1	0	0
22189	2	1	0	5
22222	2	0	1	0
22239	2	0	3	0
22248	2	2	0	4
22258	2	1	0	5
22271	2	5	0	3
22286	2	0	5	0
22292	2	0	1	0
22311	2	2	0	0
22313	2	0	5	1
22329	2	1	0	3
22346	2	3	0	0
22350	2	2	0	0
22355	2	3	0	0
22362	2	1	0	0
22369	2	3	0	1
22380	2	0	2	3
44	1	8
92	1	8
95	1	7
276	1	8
80	1	8
31	1	8
97	2	4
379	2	6
137	1	8
569	2	6
190	1	8
3	7	9	12	11	9	13	4
6	3	13	16	5	5	9	8
9	13	3	6	18	14	12	7
12	16	7	3	21	18	15	10
10	5	18	21	3	10	14	13
10	4	14	17	8	3	6	10
14	10	12	13	15	9	3	12
5	11	6	9	15	12	12	3
1	0	0	0	0	
2	0	0	0	0	
0	1	1	0	0	
1	1	1	0	0	
0	1	2	0	0	
2	2	2	0	0	
0	0	0	0	1	
1	0	0	0	1	
0	1	1	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
0	1	2	0	2	
1	1	2	0	2	
1	1	2	2	2	
2	2	2	2	2	
