41	4	5	13
21074	2	1	0	4
19895	2	0	1	3
10847	2	0	1	3
13873	2	1	0	3
17326	2	1	0	2
12130	2	1	0	0
18621	2	1	0	0
21114	2	4	0	1
12128	2	1	0	2
18125	2	1	0	2
18382	2	0	2	0
13538	2	1	0	2
14589	2	1	0	2
15115	2	1	0	3
18641	2	0	1	3
20698	2	4	0	3
20822	2	0	5	3
12523	2	1	0	3
21123	2	0	2	3
21210	2	1	0	3
20636	2	1	0	3
19126	2	1	0	3
11512	2	1	0	4
12895	2	1	0	1
18398	2	1	0	0
17956	2	1	0	2
13863	2	1	0	0
16919	2	1	0	4
20929	2	1	0	1
10810	2	1	0	4
18132	2	2	0	1
11910	2	1	0	4
21036	2	1	0	4
12265	2	1	0	3
14668	2	1	0	0
10178	2	1	0	0
20247	2	0	1	3
14632	2	1	0	0
16496	2	1	0	1
12931	2	1	0	3
44	1	8
92	1	8
276	1	8
379	2	6
3	7	11	11	9	
6	3	16	5	13	
10	16	3	21	13	
10	5	19	3	18	
9	13	12	18	3	
1	0	0	0	0	
2	0	0	0	0	
1	1	1	0	0	
0	0	0	0	1	
1	0	0	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
1	1	1	0	2	
0	0	0	2	2	
2	0	0	2	2	
2	2	2	2	2	
