81	6	5	17
18521	2	1	0	2
11944	2	1	0	0
21767	2	2	3	0
22329	2	1	0	3
10329	2	2	0	1
15607	2	1	0	0
18231	2	4	0	2
14255	2	1	0	0
19482	2	2	0	3
13823	2	5	0	0
21184	2	2	0	3
12265	2	1	0	0
21852	2	2	0	0
22369	2	3	0	1
22350	2	2	0	0
14327	2	2	0	0
19294	2	1	0	0
19813	2	3	0	0
13581	2	1	0	4
16773	2	1	0	1
15981	2	1	2	1
16998	2	1	0	0
17811	2	1	0	2
22080	2	3	0	1
13020	2	1	0	0
10797	2	1	0	0
12506	2	2	0	4
18244	2	1	0	0
14638	2	5	0	2
12430	2	1	0	2
20349	2	1	0	0
22362	2	1	0	0
13943	2	1	0	0
21300	2	1	0	0
22346	2	3	0	0
18717	2	1	0	0
18821	2	3	0	1
21167	2	1	0	0
20629	2	1	0	0
22292	2	0	1	0
22313	2	0	5	1
22166	2	1	0	2
22184	2	2	0	1
16650	2	1	0	4
20835	2	2	0	3
19298	2	2	0	2
22133	2	2	0	3
14312	2	1	0	0
22023	2	1	0	3
12686	2	1	0	2
20955	2	1	0	0
18562	2	1	0	0
21404	2	2	0	2
22311	2	2	0	0
18390	2	1	0	1
17049	2	0	5	0
22380	2	0	2	3
10724	2	3	0	0
20989	2	0	3	0
18959	2	1	0	0
22286	2	0	5	0
20262	2	2	0	0
19331	2	1	0	2
20246	2	3	0	0
21103	2	3	0	0
13756	2	5	0	0
20066	2	1	0	0
22186	2	1	0	0
11661	2	3	0	3
18296	2	1	0	2
15402	2	1	0	0
15115	2	2	0	0
20887	2	2	0	0
16567	2	1	0	0
17308	2	1	0	0
19925	2	3	0	0
21669	2	1	0	0
15436	2	1	0	0
10468	2	1	0	0
15321	2	1	0	3
44	1	8
92	1	8
276	1	8
80	1	8
31	1	8
379	2	6
3	7	9	12	11	
6	3	13	16	5	
9	13	3	6	18	
12	16	7	3	21	
10	5	18	21	3	
1	0	0	0	0	
2	0	0	0	0	
0	1	1	0	0	
1	1	1	0	0	
0	1	2	0	0	
2	2	2	0	0	
0	0	0	0	1	
1	0	0	0	1	
0	1	1	0	1	
1	1	1	0	1	
1	1	1	1	1	
0	0	0	0	2	
2	0	0	0	2	
0	1	2	0	2	
1	1	2	0	2	
1	1	2	2	2	
2	2	2	2	2	
